ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D262001EZ00A5002+01AA02201+5,189.7930983,-0.065155873,0.001713638,185.1464466,-0.141706678,0.001580062,377.218205,7.38E-15,0.371770442,9.34E-05,2.74E-08,8.72E-15,0.346087512,8.58E-05,2.59E-08,42.294,87,44.8,76,178.455113,180.7519987
UC4D262001F100A5002+01AA02203+5,225.7454243,0.074029781,0.001628245,172.9258404,-0.116613571,0.001663744,378.581515,1.06E-14,0.363014197,8.85E-05,2.44E-08,2.08E-14,0.345973903,8.27E-05,2.59E-08,44.8,82,44.8,79,180.3062025,184.7798528
UC4D2620021000A5002+01AA07110+5,103.2107065,-0.181871774,0.001732271,104.6477159,0.028393771,0.001791357,372.693945,3.36E-15,0.345963637,8.27E-05,2.58E-08,6.44E-15,0.3513097,8.54E-05,2.70E-08,42.294,85,47.455,77,193.1123764,170.8368966
UC4D2620021400A5002+01AA07114+5,183.4245004,-0.163022243,0.001644764,177.3597812,0.108039821,0.001710038,379.73221,-8.05E-16,0.366225239,9.06E-05,2.56E-08,-3.22E-15,0.351496227,8.60E-05,2.65E-08,42.294,87,42.294,82,180.8009181,191.0573889
UC4D2620010300A5002+01AA05507+5,162.511547,-0.01351267,0.001761662,129.8385573,-0.066465517,0.001734915,379.17204,-1.16E-14,0.357636229,8.90E-05,2.59E-08,4.80E-15,0.33561165,7.89E-05,2.42E-08,44.8,84,44.8,79,191.7757416,180.3577642
UC4D2620010500A5002+01AA05509+5,176.5144534,0.1265136,0.00175605,199.6569221,0.132924744,0.001624671,373.87675,-1.68E-14,0.361877957,8.92E-05,2.38E-08,1.32E-14,0.338378385,7.83E-05,2.07E-08,47.455,79,42.294,83,183.2321477,180.9378121
UC4D2620023K00A5002+01AA03901+5,182.1401131,-0.237344539,0.001651581,169.2501477,-0.188356318,0.001710495,381.33082,9.71E-16,0.356826973,8.78E-05,2.52E-08,-7.58E-15,0.351127634,9.03E-05,2.98E-08,42.294,85,42.294,83,192.2320634,180.0582634
UC4D2620023M00A5002+01AA03903+5,191.266602,-0.253199022,0.001757677,186.2836471,-0.060552203,0.001739812,381.338165,1.94E-15,0.352496493,8.44E-05,2.35E-08,-2.55E-14,0.333873724,7.67E-05,2.39E-08,44.8,86,44.8,81,195.1370308,179.7847749
UC4D2620021300A5002+01AA07113+5,148.9767056,-0.078328986,0.001683797,150.8543352,-0.126106069,0.00165762,377.260715,-9.60E-15,0.361904482,9.00E-05,2.60E-08,1.93E-14,0.341163441,8.39E-05,2.53E-08,44.8,83,42.294,82,184.946494,184.9871958
UC4D2620021700A5002+01AA07117+5,91.23200682,-0.128948913,0.001715155,135.3073661,-0.011822317,0.001674598,378.28973,7.83E-15,0.359415387,8.79E-05,2.54E-08,2.36E-15,0.344273131,8.12E-05,2.50E-08,44.8,82,42.294,83,190.3028113,173.7560089
UC4D262001F000A5002+01AA02202+5,186.0572737,-0.10657042,0.001650685,177.4296258,-0.0562037,0.00157194,376.54058,-1.24E-14,0.378640794,9.21E-05,2.24E-08,-3.69E-15,0.354451044,8.72E-05,2.82E-08,42.294,85,42.294,80,170.4903954,175.8603271
UC4D262001F300A5002+01AA02205+5,128.7502205,-0.101293091,0.001715531,116.9737369,-0.10551809,0.00165303,380.34945,1.52E-14,0.374212486,9.35E-05,2.57E-08,-2.60E-14,0.352370118,8.51E-05,2.51E-08,39.928,90,44.8,76,180.4036477,175.1953582
UC4D2620010600A5002+01AA05510+5,171.0498181,-0.0373342,0.001722416,166.966272,0.0148161,0.001768001,376.47077,-7.49E-15,0.351756535,8.34E-05,2.30E-08,-1.96E-14,0.344172778,8.13E-05,2.42E-08,42.294,88,44.8,81,191.4941246,179.5260945
UC4D2620023L00A5002+01AA03902+5,150.2258761,-0.097725521,0.001732911,124.9946141,-0.071871653,0.001684068,385.191235,-4.16E-15,0.365211388,9.42E-05,3.00E-08,-1.74E-14,0.332599472,7.83E-05,2.38E-08,44.8,85,44.8,77,178.9176732,190.553017
UC4D2620023N00A5002+01AA03904+5,200.3091479,-0.068568459,0.001661136,170.1142489,-0.040250963,0.001638493,378.610895,-3.05E-14,0.367015439,9.21E-05,2.69E-08,-5.75E-15,0.346100036,8.20E-05,2.38E-08,44.8,82,44.8,77,182.4652187,178.25935
UC4D262001HS00A5002+01AA10632+5,181.30557,-0.056922619,0.001728376,147.069999,0.073709949,0.001649614,378.813825,6.91E-15,0.373016459,9.39E-05,2.71E-08,2.39E-15,0.341853809,7.89E-05,2.37E-08,42.294,88,42.294,80,179.0798121,173.8349729
