ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D2610004L00A5002+01AA09628+5,371.3372,80,42.294,86,42.294,185.7803448,-1.51E-14,0.375399769,9.77E-05,2.51E-08,172.0814648,-1.79E-14,0.349221808,8.31E-05,2.45E-08,116.4719818,-0.011276113,0.001688949,73.27176169,0.200747592,0.001639886
UC4D2610008T00A5002+01AA02411+5,374.603775,84,39.928,90,39.928,174.6305172,-9.21E-15,0.380161008,9.81E-05,2.91E-08,172.4133467,9.99E-16,0.353676429,8.67E-05,2.79E-08,182.8930234,-0.293675363,0.001661896,106.5500717,-0.048441859,0.00166488
UC4D261000EJ00A5002+01AA06914+5,379.823535,83,42.294,87,42.294,191.2798296,1.59E-14,0.362609552,9.00E-05,2.41E-08,183.0427388,-3.41E-15,0.347257799,8.15E-05,2.37E-08,169.1379117,0.021582513,0.001672838,188.6135092,0.186622869,0.001607024
UC4D261000GF00A5002+01AA01315+5,368.0326,82,42.294,81,44.8,185.7501721,-1.16E-14,0.37065223,9.20E-05,2.55E-08,181.1477847,2.53E-15,0.350456895,8.32E-05,2.30E-08,141.0854719,0.163250806,0.001640159,153.0865873,0.322751657,0.001624184
UC4D261000HB00A5002+01AA03513+5,380.91573,84,39.928,87,42.294,179.7030056,-8.58E-15,0.375791325,9.65E-05,2.82E-08,184.1481533,-8.55E-15,0.344725377,8.14E-05,2.36E-08,140.5233259,0.069629581,0.001727686,165.7123253,0.100053123,0.001617376
UC4D261000JP00A5002+01AA02427+5,372.966165,81,42.294,87,42.294,182.3385604,-3.58E-15,0.369013208,9.15E-05,2.58E-08,174.8177268,-4.79E-15,0.341091856,7.93E-05,2.27E-08,150.906094,-0.11871527,0.001726321,173.4807754,-0.030411215,0.001580282
UC4D261000KE00A5002+01AA01920+5,379.091505,85,39.928,87,42.294,179.5332752,2.18E-14,0.373374527,9.40E-05,2.68E-08,178.0738242,-1.33E-14,0.344325024,7.97E-05,2.17E-08,100.9425834,-0.004412565,0.001775964,198.6528741,0.04603778,0.001570458
UC4D261000KH00A5002+01AA01923+5,375.3347,81,42.294,86,42.294,181.347141,-1.42E-14,0.372364975,9.38E-05,2.82E-08,176.8278252,2.22E-15,0.351640734,8.34E-05,2.47E-08,105.6186684,0.266146003,0.001714998,158.5267805,0.152103174,0.00158835
UC4D261000L900A5002+01AA01517+5,372.553285,86,39.928,88,42.294,176.4235057,3.50E-15,0.364184907,9.16E-05,2.73E-08,189.5784137,1.32E-14,0.338960409,8.36E-05,2.52E-08,112.6984073,-0.091584435,0.001745815,183.1525592,-0.049994016,0.001595641
UC4D261000LA00A5002+01AA01518+5,376.76483,83,42.294,87,42.294,188.6608222,2.18E-14,0.366690845,9.03E-05,2.59E-08,171.7936723,4.41E-15,0.345980675,8.27E-05,2.55E-08,152.0492996,-0.206663894,0.001709434,109.5160687,-0.099616541,0.001702321
UC4D261000LV00A5002+01AA07305+5,379.22534,83,42.294,88,42.294,193.4963055,-6.00E-15,0.357417167,8.69E-05,2.45E-08,177.3149736,-5.32E-15,0.339170143,7.87E-05,2.24E-08,165.9315473,0.125809111,0.001752217,202.721028,0.122612286,0.001637484
UC4D261000MH00A5002+01AA07327+5,378.16506,79,44.8,85,44.8,183.1302955,9.91E-15,0.359068688,8.70E-05,2.42E-08,179.829084,1.53E-14,0.337102509,7.66E-05,2.11E-08,132.4319686,0.197716602,0.001720837,212.2508429,0.192563073,0.00161032
UC4D261000Q800A5002+01AA01124+5,380.408925,82,42.294,81,44.8,178.5224638,3.00E-15,0.369923485,9.14E-05,2.62E-08,177.5112605,9.58E-15,0.355090027,8.58E-05,2.46E-08,172.4347783,-0.07812673,0.001645258,150.8555628,0.001623015,0.001638875
UC4D261000QR00A5002+01AA10809+5,374.113935,82,42.294,88,42.294,180.2483795,-1.60E-14,0.361850924,8.95E-05,2.61E-08,183.2781097,1.53E-14,0.340716439,8.37E-05,2.59E-08,162.5390215,-0.086180519,0.001727503,191.4134854,-0.145443655,0.001650194
UC4D261000RL00A5002+01AA04606+5,366.85506,82,42.294,87,42.294,180.2188811,-8.94E-15,0.368685677,9.14E-05,2.60E-08,178.5166429,-2.40E-14,0.349877047,8.32E-05,2.56E-08,76.16063917,-0.164597099,0.001734059,170.0446463,-0.138238821,0.001611849
UC4D261000S800A5002+01AA04628+5,376.72011,84,42.294,87,42.294,186.6772384,8.60E-16,0.35915372,8.76E-05,2.43E-08,174.0069943,-1.50E-15,0.343923957,8.08E-05,2.53E-08,91.56204505,-0.184933408,0.001756223,140.9184886,0.082090389,0.001694238
UC4D261000SJ00A5002+01AA02506+5,375.703055,83,42.294,81,44.8,186.5329973,-2.85E-14,0.358453713,8.69E-05,2.43E-08,172.8470116,2.08E-16,0.350203472,8.27E-05,2.31E-08,95.73471388,0.02280158,0.001710248,115.4510281,0.163595527,0.001728823
UC4D261000SK00A5002+01AA02507+5,373.725885,84,39.928,86,42.294,162.7468941,-3.66E-15,0.374646166,9.66E-05,3.00E-08,183.3894423,-1.80E-14,0.349387521,8.70E-05,2.59E-08,128.6768074,0.030634026,0.001630242,156.5769918,0.187618992,0.001557675
UC4D261000TK00A5002+01AA05309+5,377.87191,85,42.294,88,42.294,192.6204322,1.62E-14,0.35145853,8.27E-05,2.19E-08,173.9077254,-6.37E-15,0.340727454,7.84E-05,2.25E-08,120.7271039,-0.183198772,0.001762782,104.3768316,-0.054761394,0.001796727
UC4D261000TL00A5002+01AA05310+5,378.16363,82,42.294,87,42.294,184.9224979,1.02E-14,0.362825812,9.12E-05,3.10E-08,178.0966106,-2.58E-15,0.340545331,7.95E-05,2.55E-08,95.15252357,0.062754705,0.001749464,164.089023,-0.066625872,0.001604357
UC4D261000TM00A5002+01AA05311+5,379.80579,86,39.928,88,42.294,185.0805501,-2.32E-14,0.371587687,9.38E-05,2.75E-08,175.2875514,-2.90E-15,0.344087587,8.07E-05,2.24E-08,176.181709,-0.253245918,0.001703629,146.1649589,-0.135575745,0.001674267
UC4D261000U800A5002+01AA05332+5,373.21414,82,42.294,86,42.294,177.7319579,2.55E-14,0.364118301,8.97E-05,2.53E-08,177.4006355,2.50E-15,0.351766216,8.32E-05,2.25E-08,168.1182356,0.16445464,0.001612826,179.7939633,0.088385184,0.001621564
UC4D261000U900A5002+01AA09101+5,383.03655,79,42.294,86,42.294,168.8137217,9.16E-15,0.377489707,9.62E-05,2.85E-08,177.2724746,2.75E-15,0.349102656,8.32E-05,2.35E-08,119.8567011,-0.174974944,0.001687802,183.2171573,0.057975154,0.001546041
UC4D261000UE00A5002+01AA09106+5,375.1761,81,44.8,79,47.455,188.7755456,6.19E-15,0.350002039,8.38E-05,2.39E-08,189.9458306,-4.72E-15,0.339542324,8.29E-05,2.49E-08,141.4245177,-0.275124775,0.001734616,159.1513228,-0.075373126,0.001745425
UC4D261000US00A5002+01AA09118+5,375.201515,85,39.928,94,39.928,177.1183628,4.61E-15,0.376400834,9.56E-05,2.87E-08,176.597107,3.05E-16,0.341328036,7.85E-05,2.24E-08,180.3675989,-0.179733365,0.001697041,136.3907257,-0.070223662,0.001613979
UC4D261000VD00A5002+01AA09107+5,377.433485,82,42.294,86,42.294,179.8190641,-5.83E-16,0.3630669,8.97E-05,2.55E-08,176.8021561,-8.49E-15,0.343536775,8.57E-05,2.71E-08,172.7036714,-0.102420079,0.001659785,146.0686428,-0.001402298,0.001651456
UC4D261000W600A5002+01AA10702+5,376.858495,82,42.294,82,44.8,179.1269032,1.97E-14,0.362552831,9.11E-05,2.64E-08,189.9118071,1.28E-14,0.344067282,8.41E-05,2.28E-08,184.6670668,-0.159560663,0.001703667,214.7529533,-0.217940369,0.001624982
UC4D261000WG00A5002+01AA10712+5,376.28344,80,42.294,91,39.928,170.4943326,1.33E-15,0.372522526,9.32E-05,2.64E-08,176.0912851,-1.26E-14,0.347849811,8.28E-05,2.49E-08,161.7445766,-0.098680343,0.001672821,180.2795372,-0.103942117,0.001636297
