ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D274000XS00A5003+01DE06024+5,371.85655,85,39.928,94,39.928,172.6689335,-7.49E-16,0.367536154,9.34E-05,2.91E-08,182.4047939,-1.15E-14,0.336150286,8.30E-05,2.60E-08,105.7312742,-0.000376116,0.00173375,113.4337425,0.239344628,0.001642269
UC4D274000XU00A5003+01DE06026+5,372.170045,89,39.928,82,44.8,182.8300262,2.07E-14,0.354715073,8.55E-05,2.45E-08,180.1216533,-1.21E-14,0.344358144,8.13E-05,2.56E-08,162.9115563,0.091765034,0.001674768,173.1321769,0.125005968,0.001672209
UC4D274000GY00A5003+01DE05232+5,374.78519,86,39.928,92,39.928,175.8206834,7.85E-15,0.364172529,9.10E-05,2.77E-08,173.9273037,-2.32E-14,0.347157477,8.65E-05,2.59E-08,181.43609,-0.128223587,0.001682146,135.0651572,0.062441562,0.001678551
UC4D274000H000A5003+01DE01402+5,373.82462,89,37.695,94,39.928,174.9768052,-5.13E-15,0.374342975,9.44E-05,2.84E-08,177.2759547,-3.08E-15,0.334945547,7.81E-05,2.43E-08,139.4233799,-0.206677718,0.001757561,142.9430276,0.047889302,0.001613411
UC4D274001A600A5003+01DE02130+5,379.608775,92,37.695,93,39.928,184.9801767,-7.22E-16,0.362878769,8.98E-05,2.65E-08,179.0348197,1.68E-14,0.341058495,8.35E-05,2.49E-08,80.95691873,-0.015243268,0.001638076,104.0969895,-0.004761824,0.001626452
UC4D274001A800A5003+01DE02132+5,379.14526,90,39.928,92,39.928,187.7154759,-4.47E-15,0.351139235,8.35E-05,2.36E-08,167.9176817,-8.19E-15,0.346240023,8.16E-05,2.41E-08,49.74587491,0.021300869,0.00173503,153.7532874,0.013265724,0.001688204
UC4D274000GZ00A5003+01DE01401+5,372.669375,89,39.928,91,39.928,187.4051228,-2.78E-17,0.353267835,8.62E-05,2.58E-08,182.6620595,-2.22E-14,0.349086491,8.91E-05,2.87E-08,117.535182,-0.119911395,0.00165089,209.7494484,0.14126245,0.001615457
UC4D274000H100A5003+01DE01403+5,371.46174,91,37.695,92,39.928,185.8807528,1.19E-15,0.368078363,9.20E-05,2.77E-08,171.4224218,-7.55E-15,0.344193717,8.17E-05,2.64E-08,160.643344,0.06250613,0.001677311,221.197389,0.150462535,0.001553698
UC4D274001AB00A5003+01DE02103+5,378.540955,88,39.928,89,42.294,186.0755982,7.66E-15,0.350948403,8.51E-05,2.62E-08,181.037679,5.83E-15,0.332887287,8.18E-05,2.59E-08,130.2370148,-0.15067596,0.001673424,136.2644235,-0.155650691,0.001670973
UC4D274001AD00A5003+01DE02105+5,376.51328,90,39.928,95,39.928,189.403701,-5.52E-15,0.348577482,8.28E-05,2.36E-08,167.5309954,8.60E-16,0.333352851,7.48E-05,2.20E-08,89.1896427,-0.151090001,0.001716544,138.5285083,-0.121378678,0.001712491
