GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um,
T20230515191418,2023-05-15 19:14:48.583,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650006VVR31040+L1AE11909+0,0x00000012BF16F592,LG5D1650006VVR31040+L1AE11909+0,80,83,47.454999999999998,42.293999999999997,185.32075356884499,195.39210244313699,66.759244575095423,-0.057141384110269589,0.0017210317755512253,227.02591586560618,-0.044207245900957648,0.0015633857877701935,-2.8560487308482202e-14,0.34383120018140501,8.0415298940167605e-05,2.1713851072267399e-08,1.08829611988881e-13,0.36259345632574003,8.8361092270936405e-05,2.3305061893734101e-08,388.99051852633397,
T20230520015459,2023-05-20 01:55:29.368,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D1650006XVR31040+L1AE11911+0,0x0000001ABF12F596,LG5D1650006XVR31040+L1AE11911+0,80,74,47.454999999999998,47.454999999999998,190.00907155141101,194.771482173462,109.07666780378558,-0.17080724222757723,0.0016616217582663935,162.67634321933829,-0.011656625596829673,0.00155551746095854,-9.2065244317041106e-14,0.33959945749583698,8.0938061401244498e-05,2.5166331737119101e-08,3.26683124995952e-14,0.36113990708822602,8.7884311139332995e-05,2.4309270641548501e-08,383.41430537067498,
T20230520013852,2023-05-20 01:39:22.911,CLT-00001T01,2,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D1650006YVR31040+L1AE11912+0,0x0000001ABF16B59A,LG5D1650006YVR31040+L1AE11912+0,80,78,44.799999999999997,44.799999999999997,180.994350221828,190.09589055415699,148.42760901329689,-0.13398422300946355,0.0014771654048666418,215.93654177562948,-0.094688863869783063,0.0015602356722143548,1.60621516087645e-13,0.36074682323120999,8.8705000082727606e-05,2.6182599660601698e-08,1.9903523273967499e-13,0.36140886907660302,8.7445238338970495e-05,2.37706145626451e-08,383.89111685180598,
T20230520020121,2023-05-20 02:01:51.419,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5G03A,LG5D16500074VR31040+L1AE11918+0,0x0000001B9F16B596,LG5D16500074VR31040+L1AE11918+0,79,78,47.454999999999998,44.799999999999997,190.064504169918,189.296501797389,123.33367183283181,-0.01595434706236018,0.0015558739620342924,227.28880483413059,0.0069507676114597683,0.0014650901068109744,-9.3536289824669407e-15,0.350217426800076,8.5525843298194003e-05,2.2855807696344099e-08,-8.4821039081361998e-14,0.36496860298219502,8.8958661978959995e-05,2.5173603623808799e-08,386.48939202127701,
T20230515191647,2023-05-15 19:17:17.561,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650007MVR31040+L1AE06103+0,0x0000001B8F16B596,LG5D1650007MVR31040+L1AE06103+0,80,80,44.799999999999997,42.293999999999997,171.345435070863,185.181341152241,77.852374894501366,-0.051816316277567664,0.0015604322623274909,221.41492680163546,-0.034968270166063353,0.0014643010397809258,-4.4658721165546903e-14,0.35904094520448099,8.7125818788384103e-05,2.537287886666e-08,-7.4190653620576098e-14,0.37362748508684801,9.3133106122852697e-05,2.4549576401440299e-08,377.14516163620499,
T20230515191605,2023-05-15 19:16:35.023,CLT-00001T03,5,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650007PVR31040+L1AE06105+0,0x0000001ABF12B59E,LG5D1650007PVR31040+L1AE06105+0,81,78,44.799999999999997,44.799999999999997,179.729175823231,190.16919076873799,73.967145324924147,-0.053697565420243426,0.0016100973004198162,247.09517585509263,-0.09077686323303949,0.0014577927952222811,-2.6145752229922399e-14,0.356026260688728,8.6724812531243397e-05,2.5257294192370999e-08,5.06261699229071e-14,0.36268719884281497,8.7935381624803296e-05,2.30727664893084e-08,382.71388147087498,
T20230515191705,2023-05-15 19:17:34.966,CLT-00001T04,8,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650007QVR31040+L1AE06106+0,0x000000138F16B59A,LG5D1650007QVR31040+L1AE06106+0,80,79,44.799999999999997,44.799999999999997,179.579338431309,196.332133361454,134.39418789797006,-0.20926034929042861,0.0015182034234506694,238.81410961215113,-0.014338035829335433,0.0015133125036828608,-5.9674487573602203e-15,0.36129158835498298,8.9561183059292001e-05,2.6093954657186699e-08,-4.8017145815038001e-14,0.359665304304148,8.6433324804851002e-05,2.2966089343135301e-08,384.07585600645302,
T20230515191456,2023-05-15 19:15:26.122,CLT-00001T04,7,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D1650007TVR31040+L1AE06109+0,0x0000001B8F12F592,LG5D1650007TVR31040+L1AE06109+0,82,81,44.799999999999997,42.293999999999997,181.35419137805499,186.685453690918,104.9884003569495,-0.0045812411387098073,0.0015929722551528351,212.99706873242178,-0.049200948464177385,0.0014661892790049428,1.13520304267922e-13,0.35320413225530101,8.5409809413229294e-05,2.4543895464806399e-08,-3.1641356201816999e-14,0.37290826354986201,9.2513185312160202e-05,2.6152284469183401e-08,381.89672123889102,
T20230515191659,2023-05-15 19:17:29.480,CLT-00001T02,4,A3104,Mine_B_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500081VR31040+L1AE06117+0,0x0000001BAF16B59A,LG5D16500081VR31040+L1AE06117+0,80,80,44.799999999999997,44.799999999999997,181.61908953256099,189.93016343816501,101.32703171349755,-0.19663010016860336,0.0015480365849485579,221.59560374042937,-0.081869686510023326,0.0015442601206496999,-4.3298697960381097e-15,0.36721387494118302,9.0742679249051502e-05,2.54540128243112e-08,-2.47302178735254e-14,0.35976568192654901,8.6006645683545601e-05,2.3487705719837199e-08,384.14160658721198,
T20230515192224,2023-05-15 19:22:54.058,CLT-00001T01,1,A3104,Mine_A_release_POR_inline_iclt_A3104_23050153.exe,GTSAA1BKD5E05A,LG5D16500084VR31040+L1AE06120+0,0x00000013BF16B596,LG5D16500084VR31040+L1AE06120+0,82,82,44.799999999999997,42.293999999999997,177.39446639735999,189.74703798778901,136.02145908176962,-0.14051700057278049,0.001623088538219204,132.61966876543977,0.05618950891634357,0.0016589565307711641,3.71924713249427e-14,0.35143510639129399,8.38862262352398e-05,2.3483364343988401e-08,5.6704640982729902e-14,0.36792876377293099,9.0840093879507403e-05,2.4720360383782302e-08,387.74960439475302,
