GlobalTime,time,station,site,moduleConfig,SWversion,lotNum,Barcode,UniqueID,ActuatorSN,sph_S1_OOVreg,sph_S2_OOVreg,sph_S1_gain,sph_S2_gain,sph_strokecenter_y_sensor_offset_lsb,sph_strokecenter_x_sensor_offset_lsb,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,aps_strokeMax_um
T20230603084400,44:30.7,CLT-00001T01,1,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D175000HDVR31060+L2AA03415+0,0x0000005BA6528596,LG5D175000HDVR31060+L2AA03415+0,85,81,42.294,42.294,182.129852,188.5578347,184.9732698,0.213036181,0.001585181,115.2545457,0.139799092,0.001605307,-1.27E-13,0.351996687,8.73E-05,2.68E-08,1.55E-13,0.365073361,8.88E-05,2.51E-08,359.8772168
T20230603084408,44:38.8,CLT-00001T02,3,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D175000HAVR31060+L2AA03412+0,0x00000052B652C59E,LG5D175000HAVR31060+L2AA03412+0,87,77,42.294,44.8,177.7480493,200.168819,151.2565802,0.001483763,0.001622378,63.16103603,0.098365889,0.001638592,-7.03E-14,0.347028014,8.30E-05,2.57E-08,-3.26E-14,0.370992436,9.45E-05,2.63E-08,362.4152275
T20230603084410,44:41.3,CLT-00001T02,4,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1750019NVR31060+L2AA04012+0,0x000000769E56B19E,LG5D1750019NVR31060+L2AA04012+0,87,84,42.294,42.294,178.6763324,201.6136027,139.7363112,-0.087100355,0.001598284,98.73124605,-0.159191983,0.001721617,8.92E-14,0.348513701,8.13E-05,2.47E-08,-1.91E-14,0.35897591,8.72E-05,2.34E-08,357.3724953
T20230603084410,44:41.0,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1750006DVR31060+L2AA04925+0,0x000000D596D68391,LG5D1750006DVR31060+L2AA04925+0,86,82,42.294,42.294,188.2151016,194.7409044,120.8339526,-0.18974782,0.001657939,135.4291296,0.031885252,0.001602435,9.18E-14,0.35229961,8.84E-05,2.96E-08,-1.75E-13,0.364727285,8.75E-05,2.52E-08,359.9766571
T20230603084412,44:43.5,CLT-00001T03,6,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D17500065VR31060+L2AA04917+0,0x000000D4A6D28395,LG5D17500065VR31060+L2AA04917+0,86,80,42.294,42.294,180.6643348,196.0721716,148.0867516,-0.19760825,0.001650917,196.0965827,-0.046249964,0.001472379,-5.21E-14,0.347337167,8.32E-05,2.47E-08,2.10E-14,0.377657822,9.72E-05,2.81E-08,362.7672414
T20230603084413,44:44.4,CLT-00001T04,7,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1750019MVR31060+L2AA04011+0,0x000000779E56F19E,LG5D1750019MVR31060+L2AA04011+0,87,82,42.294,42.294,185.2042364,194.5314776,175.3776629,-0.20346621,0.001594285,151.6958149,-0.085033028,0.001604656,1.45E-13,0.343393538,8.30E-05,2.62E-08,-1.60E-13,0.365320212,9.04E-05,2.53E-08,365.0068226
T20230603084416,44:47.0,CLT-00001T04,8,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1750019LVR31060+L2AA04010+0,0x0000007E8E56F196,LG5D1750019LVR31060+L2AA04010+0,84,80,44.8,42.294,190.1925087,186.6704273,186.0039324,0.006727535,0.001712235,190.7569809,-0.101620765,0.001524326,2.94E-14,0.334645641,7.83E-05,2.25E-08,8.81E-14,0.369475969,9.00E-05,2.49E-08,354.8994992
T20230603084512,45:42.8,CLT-00001T01,1,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1750006KVR31060+L2AA04931+0,0x000000D4B6D2C395,LG5D1750006KVR31060+L2AA04931+0,87,83,42.294,39.928,185.8421828,192.0994736,223.4420618,-0.089296958,0.001600366,130.276276,-0.098463608,0.00154354,1.17E-13,0.344972347,8.29E-05,2.55E-08,1.22E-13,0.383028059,9.97E-05,2.79E-08,355.9154767
T20230603084517,45:47.9,CLT-00001T01,2,A3106,Mine_B_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1760004RVR31060+L2AA04501+0,0x0000007EB642959E,LG5D1760004RVR31060+L2AA04501+0,82,81,44.8,42.294,193.3665894,192.8743284,140.6295991,-0.17293164,0.001674993,170.0894897,-0.18471849,0.001603808,-8.52E-14,0.345303571,8.12E-05,2.37E-08,-4.39E-15,0.368150087,9.22E-05,2.50E-08,357.3806417
T20230603084519,45:50.3,CLT-00001T03,5,A3106,Mine_A_release_POR_inline_iclt_A3106_23051851.exe,GTSAA1BAD5T02A,LG5D1760006CVR31060+L2AA04124+0,0x000000BF9702A192,LG5D1760006CVR31060+L2AA04124+0,90,79,39.928,42.294,177.896513,188.9233707,155.2852024,-0.034685993,0.001567399,142.6120041,0.009472286,0.001543143,2.41E-13,0.351686768,8.63E-05,2.71E-08,5.18E-14,0.379308597,9.70E-05,2.78E-08,357.6966566
